keyword,url,position,previousPosition,frequency,region,pageType,bucket,positionWeight,intentMultiplier,score
ремонт стиральных машин в верхняя пышма на дому,https://master-na-dom.online/remont-stiralnyh-mashin-verkhnyaya-pyshma,17,4,0,Верхняя Пышма,SERVICE_CITY,11-20,10,1.2,12
ремонт стиральных машин в жигулёвск на дому,https://master-na-dom.online/remont-stiralnyh-mashin-zhigulyovsk,11,9,0,Жигулёвск,SERVICE_CITY,11-20,10,1.2,12
ремонт стиральных машин в новоульяновск на дому,https://master-na-dom.online/remont-stiralnyh-mashin-novoulyanovsk,18,20,0,Новоульяновск,SERVICE_CITY,11-20,10,1.2,12
ремонт холодильника зеленоградск недорого,https://master-na-dom.online/remont-holodilnikov-zelenogradsk,14,13,0,Зеленоградск,SERVICE_CITY,11-20,10,1.2,12
ремонт холодильника коркино недорого,https://master-na-dom.online/remont-holodilnikov-korkino,16,8,0,Коркино,SERVICE_CITY,11-20,10,1.2,12
ремонт холодильников в светлогорск на дому,https://master-na-dom.online/remont-holodilnikov-svetlogorsk,19,12,0,Светлогорск,SERVICE_CITY,11-20,10,1.2,12
услуги электрика балахна,https://master-na-dom.online/elektrik-balakhna,18,,0,Балахна,SERVICE_CITY,11-20,10,1.2,12
частный сантехник богородск,https://master-na-dom.online/santehnik-bogorodsk,20,18,0,Богородск,SERVICE_CITY,11-20,10,1.2,12
частный сантехник жигулёвск,https://master-na-dom.online/santehnik-zhigulyovsk,18,,0,Жигулёвск,SERVICE_CITY,11-20,10,1.2,12
частный сантехник новоульяновск,https://master-na-dom.online/santehnik-novoulyanovsk,12,11,0,Новоульяновск,SERVICE_CITY,11-20,10,1.2,12
ремонт стиральных машин коркино,https://master-na-dom.online/remont-stiralnyh-mashin-korkino,88,12,25,Коркино,SERVICE_CITY,51-100,2,1.2,11.41
компьютерная помощь новочебоксарск,https://master-na-dom.online/kp-novocheboksarsk,30,29,0,Новочебоксарск,SERVICE_CITY,21-30,8,1.2,9.6
мастер на дом балаклава,https://master-na-dom.online/master-na-chas-balaklava,25,27,0,Балаклава,SERVICE_CITY,21-30,8,1.2,9.6
мастер на час йошкар-ола,https://master-na-dom.online/master-na-chas-yoshkar-ola,26,26,0,Йошкар-Ола,SERVICE_CITY,21-30,8,1.2,9.6
мастер по ремонту варочных панелей калининград,https://master-na-dom.online/remont-varochnyh-panelej-kaliningrad,26,85,0,Калининград,SERVICE_CITY,21-30,8,1.2,9.6
мастер по ремонту окон новокуйбышевск,https://master-na-dom.online/remont-okon-novokuybyshevsk,26,24,0,Новокуйбышевск,SERVICE_CITY,21-30,8,1.2,9.6
мастер по ремонту посудомоечных машин балтийск,https://master-na-dom.online/remont-pmm-baltiysk,21,5,0,Балтийск,SERVICE_CITY,21-30,8,1.2,9.6
мастер по ремонту холодильников копейск,https://master-na-dom.online/remont-holodilnikov-kopeysk,22,,0,Копейск,SERVICE_CITY,21-30,8,1.2,9.6
ремонт бойлеров таганрог,https://master-na-dom.online/remont-vodonagrevatelej-taganrog,26,,0,Таганрог,SERVICE_CITY,21-30,8,1.2,9.6
ремонт кондиционеров в кострома на дому,https://master-na-dom.online/remont-kondicionerov-kostroma,26,28,0,Кострома,SERVICE_CITY,21-30,8,1.2,9.6
ремонт кондиционеров в чебоксары на дому,https://master-na-dom.online/remont-kondicionerov-cheboksary,27,28,0,Чебоксары,SERVICE_CITY,21-30,8,1.2,9.6
ремонт пластиковых окон в семилуки,https://master-na-dom.online/remont-okon-semiluki,21,24,0,Семилуки,SERVICE_CITY,21-30,8,1.2,9.6
